abs,emi,plqy,em,smiles,solvent,reference(doi),source,tag,tag_name,solvent_num,split
454.0,,,,N#C/C(=C\c1ccc(-c2ccc(N(c3ccc(/C=C/c4ccccc4)cc3)c3ccc(/C=C/c4ccccc4)cc3)cc2)o1)C(=O)O,ClCCl,10.1002/solr.201900066,Dye aggregation,6,Triphenylamine,1,Train
,,,5.665768550719379,Oc1ccccc1CNc1ccc(-c2c3nc(c(-c4ccccc4)c4ccc([nH]4)c(-c4ccccc4)c4nc(c(-c5ccccc5)c5ccc2[nH]5)C=C4)C=C3)cc1,ClC(Cl)Cl,,Epsilon,7,Porphyrin,1,Train
383.0,493.0,,,CN(C)c1ccc(/C=C2\CCCC2=O)cc1,CS(C)=O,10.1016/j.molstruc.2016.02.009,Deep4Chem,12,5n6,18,Train
581.0,625.0,0.84,4.804820678721162,Cc1cc(C)c(C2=C3C=CC(c4csc5ccccc45)=[N+]3[B-](F)(F)n3c2ccc3-c2csc3ccccc23)c(C)c1,ClC(Cl)Cl,10.1039/c4cs00030g,Deep4Chem,5,BODIPY,1,Train
563.0,,,,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(C34CSC(c5ccc(C=C(C#N)C(=O)O)c6nsnc56)=C3OCCO4)cc2)cc1,Clc1ccccc1,10.1039/c5ra05287d,DSSCDB,6,Triphenylamine,1,Train
345.0,364.0,0.06,,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2oc3nc4oc5ccc(C(F)(F)F)cc5c4cc3c2c1,ClC(Cl)Cl,10.1021/acs.joc.8b01451,Deep4Chem,3,Carbazole,6,Train
,,,4.342777867387247,COc1cc(CN(C)Cc2ccccn2)c2cc3c(CN(C)Cc4ccccn4)cc(=O)cc-3oc2c1,O,,Epsilon,9,Acridines,1,Train
353.0,426.0,0.12,,CCCCCCN1C(=O)c2cccc3c(-c4ccccc4)ccc(c23)C1=O,CN(C)C=O, 10.1039/c9nr04593g,ChemFluo,1,Naphthalimide,1,Train
,,,4.019988159591286,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,CO,,Epsilon,9,Acridines,10,Train
335.0,394.0,0.26,,N#Cc1ccc(N)cc1C#N,CCO,10.1016/j.cplett.2006.03.073,Deep4Chem,15,Benz,4,Train
,,,4.330007700872759,COc1ccc2c(c1OC)C(=O)c1ccc(C)c(O)c1C2=O,CCO,,Epsilon,9,Acridines,1,Train
552.0,574.0,0.76,,C[O+]=C1C=CC2=C(c3ccc(C)cc3)c3ccc([Se]c4ccccc4)n3[B-](F)(F)N12,Cc1ccccc1,10.1039/b900786e,BODIPY,5,BODIPY,2,Train
455.0,,,,O=C1OC(=O)c2ccc(N(c3ccccc3)c3ccc4ccc5cccc6ccc3c4c56)c3cccc1c23,C1CCOC1,10.1021/jp044669u,Deep4Chem,6,Triphenylamine,4,Train
420.0,478.0,0.02,4.12057393120585,CN(C)c1ccc(/C=C/C=N/N=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,CC(C)(C)O,10.1021/acsomega.8b02717,Deep4Chem,8,PAHs,10,Train
,,,3.909983694939844,CC1(C)CC(=O)C2=C(C1)N(c1ccccc1)C1=C(C2)C(=O)CC(C)(C)C1,ClCCl,,Epsilon,4,Cyanine,6,Train
729.0,807.0,0.0,,CCc1c(C)[nH]c(C2=[N+]3C(=C(c4ccccc4)c4cc(Br)c(-c5[nH]c(C)c(CC)c5C)n4[B-]3(F)F)C=C2Br)c1C,ClCCl,10.1002/asia.201500118,BODIPY,5,BODIPY,4,Train
,,,4.41161970596323,COc1cc(N(C)c2cc3oc4cc(=O)c(F)cc-4c(-c4ccccc4C)c3cc2F)ccc1O,CCCCCCCCO,,Epsilon,9,Acridines,1,Train
578.0,606.0,0.36,,Cc1c(Br)c(C)n2c1C=C1C=C(C#Cc3ccccc3)C(=[N+]3CCCCC3)N1[B-]2(F)F,ClCCl,10.1039/C2OB07004A,BODIPY,5,BODIPY,1,Train
,,,4.320146286111054,CC(C)(C)c1ccc(-c2c3nc(c(-c4c(CBr)cc(C(C)(C)C)cc4CBr)c4ccc([nH]4)c(-c4ccc(C(C)(C)C)cc4)c4nc(c(-c5c(CBr)cc(C(C)(C)C)cc5CBr)c5ccc2[nH]5)C=C4)C=C3)cc1,ClCCl,,Epsilon,7,Porphyrin,1,Train
473.0,520.0,0.02,,CCN(CC)c1ccc2n1[B-](F)(F)[N+]1=C(C(C)=O)C=CC1=C2c1c(C)cc(C)cc1C,CCCCCO,10.1016/j.dyepig.2020.108510,BODIPY,5,BODIPY,18,Train
500.0,,,,N#C/C(=C\c1ccc(-c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nc(-c4ccccc4)c(-c4ccccc4)nc23)s1)C(=O)O,C1CCOC1,10.1021/ol2012378,DSSCDB,6,Triphenylamine,1,Train
,,,3.929418925714293,COc1ccc(N(c2ccc([O+]C)cc2)c2c(Cl)c(Cl)c(C(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c(Cl)c2Cl)cc1,ClCCl,,Epsilon,6,Triphenylamine,1,Train
373.0,521.0,0.72,,CCCCN=C(O)CCC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,CS(C)=O,10.1002/chem.201600581,ChemFluo,13,6n6,7,Train
462.0,,,,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc(-c4cc(-c5ccc(/C=C(/C#N)C(=O)O)cc5)c(-c5ccc(C=C(C#N)C(=O)O)cc5)s4)s3)cc2)cc1,C1CCOC1,10.1039/C3TA14404F,Dye aggregation,6,Triphenylamine,1,Train
565.5,625.0,0.44,,Cc1ccc(C2=C3C=CC(c4ccc(C=C(C#N)C#N)cc4)=[N+]3[B-](F)(F)n3c2ccc3-c2ccc(C=C(C#N)C#N)cc2)cc1,CC(C)=O,10.1039/B925561C,BODIPY,5,BODIPY,5,Train
,,,0.6434526858992667,CN(C)c1ccc2c(=N)c3ccc(N(C)C)cc3[nH]c2c1,CO,,Epsilon,9,Acridines,1,Train
440.0,,,,COc1ccc(N2c3ccc(/C=C(/C#N)C(=O)O)cc3C3CCCC32)cc1,CCO,10.1016/j.matchemphys.2013.06.044,Dye aggregation,10,5p6,1,Train
439.0,,,,CCC1=C(C)C(=O)NC1=Cc1[nH]c(C(C)(C)c2[nH]c(C=C3NC(=O)C(C)=C3CC)c(C)c2CCC(=O)O)c(CCC(=O)O)c1C,c1ccccc1,,ChemDataExtractor,-1,,1,Train
558.5,569.0,0.58,,Cc1cc(/C=C/c2cc(F)ccc2F)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,"10.1039/C0CC04495D,10.1002/minf.201000089",BODIPY,5,BODIPY,1,Train
,,,4.9000009651534695,O=C(CCc1ccccc1)c1ccc(O)c(Cc2ccccc2)c1O,CO,,Epsilon,13,6n6,1,Train
333.0,476.0,0.03,,Oc1ccc2ccccc2c1C1Nc2cccc3cccc(c23)N1,CO,10.1007/s10895-019-02361-9,Deep4Chem,8,PAHs,4,Train
332.0,410.0,,,CCCCn1c2ccccc2c2ccc3c4cc(-c5ccc6ccccc6c5)ccc4n(CCCC)c3c21,ClC(Cl)Cl,10.1016/j.tet.2016.12.001,Deep4Chem,3,Carbazole,1,Train
,,,0.6646419647983204,COc1cc2oc3cc(O)c(OC)c(OC)c3c(=O)c2c(OC)c1OC,CO,,Epsilon,9,Acridines,1,Train
377.0,499.0,0.31,4.4799997525916355,CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(C)nn(-c4ccccc4)c3nc12,ClCCl,10.1021/jo3002722,"Deep4Chem,SMFluo",2,Coumarin,5,Train
,,,4.071882007306125,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,CCO,,Epsilon,11,6p6,1,Train
428.0,475.0,,,CCCCCCCCC(=O)c1ccc2cc3cc(N(C)C)ccc3cc2c1,CCCCCC,10.1039/c9tb01738k,ChemFluo,8,PAHs,5,Train
313.0,333.0,,,c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2cccnc21,CC1CCCO1,10.1016/j.dyepig.2018.03.066,Deep4Chem,13,6n6,1,Train
,,,4.494154594018442,COc1ccc2cc(Cc3ccc(Cl)cc3)ccc2c1,CC#N,,Epsilon,8,PAHs,1,Train
528.0,,,,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(N(c7ccc(OCCCCCC)cc7)c7ccc(OCCCCCC)cc7)cc6)s5)c5nc(-c6ccc(/C=C(/C#N)C(=O)O)s6)c(-c6ccc(/C=C(/C#N)C(=O)O)s6)nc45)s3)cc2)cc1,Cc1ccccc1,10.1039/c3ta11398a,"DSSCDB,Dye aggregation",6,Triphenylamine,1,Train
435.0,448.0,0.83,3.900000954474893,CCCCCCN1B2c3c(cccc3-c3cc4c(cc3N2CCCCCC)-c2cccc3c2B(N(CCCCCC)c2ccccc2-3)N4CCCCCC)-c2ccccc21,ClCCl,10.1021/jacs.6b04445,ChemFluo,5,BODIPY,1,Train
410.0,582.0,,5.378397900948138,CC1(C)CC(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)=CC(=C(C#N)C#N)C1,ClCCl,10.1021/jo400116j,Deep4Chem,3,Carbazole,6,Train
417.0,514.0,0.57,4.60422605308447,CN(C)c1ccc(C2=Cc3cccc[n+]3[B-](F)(F)O2)cc1,COC(C)=O,10.1016/j.saa.2018.03.048,Deep4Chem,11,6p6,10,Train
505.0,517.0,0.86,,COc1c(C)cccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CS(C)=O,10.1021/ja068551y,BODIPY,5,BODIPY,8,Train
580.0,,,,CC(C)/C(C=C1Sc2ccccc2N1C)=c1/s/c(=C2\SC(=S)N(CC(=O)O)C2=O)n(CC(=O)O)c1=O,CCO,10.1016/S09270248(03)001132,DSSCDB,10,5p6,1,Train
,,,,C=Cc1c(C)c2cc3nc(c(CC(=O)O)c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)O)[C@@H](CCC(=O)O)[C@@H]3C,CC(C)=O,,Epsilon,7,Porphyrin,10,Train
,,,4.737192642704737,OC[C@H]1O[C@H](Cc2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(C[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)[C@H](O)[C@@H](O)[C@H]1O,CO,,Epsilon,7,Porphyrin,1,Train
,594.0,,,CN(C)c1ccc(/C=C/c2ncc3ccccc3n2)cc1,CS(C)=O,10.1021/jo501305h,Deep4Chem,11,6p6,5,Train
348.0,406.0,0.3,,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(N(c3ccc(-n4c5ccccc5c5ccccc54)cc3)c3ccc4c(c3)C(CCCCCCCC)(CCCCCCCC)c3ccccc3-4)cc21,ClCCl,10.1021/acsaem.8b00461,Deep4Chem,3,Carbazole,11,Train
338.0,405.0,,,c1ccc(-c2nc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cn3)oc2-c2ccccc2)cc1,c1ccccc1,10.1016/j.tet.2017.02.049,Deep4Chem,3,Carbazole,12,Train
500.0,555.0,,,CC1=CC(C)(C)Nc2ccc3c(-c4cccc(F)c4)c4ccc(=[NH2+])cc-4n(C)c3c21,O,10.1021/ja068230m,ChemFluo,9,Acridines,1,Train
287.0,,,4.564961804462294,CN1c2ccccc2Sc2ccc(C=Nc3ccc4ccccc4c3)cc21,ClCCl,,ChemDataExtractor,8,PAHs,1,Train
529.0,,,,CCCCN1C(=O)C2=C(c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)o4)cc3)N(CCCC)C(=O)C2=C1c1ccc(-c2ccc3c(c2)C2CCCC2N3c2ccc(C)cc2)cc1,ClCCl,10.1002/asia.201200648,Dye aggregation,4,Cyanine,1,Train
410.0,500.0,,,CCCCn1c2ccc(C#Cc3ccc(/C=C(\C#N)C(=O)O)cc3)cc2c2nc3ccccc3nc21,C1CCOC1,10.1016/j.tet.2014.04.009,DSSCDB,10,5p6,1,Train
,,,4.346352974450639,CN(C)c1ccc(C(C=C2c3ccccc3Sc3ccccc32)=C(C#N)C#N)cc1,ClCCl,,Epsilon,9,Acridines,1,Train
324.0,388.0,,,CCCc1cc2nc[nH]c(=NC)c2c2cc(C3CCCCC3)nn12,ClCCl,10.1039/c6cc02184k,ChemFluo,10,5p6,1,Train
442.0,,,,N#C/C(=C\c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1)C(=O)O,ClC(Cl)Cl,10.1021/sc400293v,Dye aggregation,6,Triphenylamine,4,Train
,,,5.556302500767287,FCCOc1ccc(-c2c3nc(c(-c4ccccc4)c4ccc([nH]4)c(-c4ccccc4)c4nc(c(-c5ccccc5)c5ccc2[nH]5)C=C4)C=C3)cc1,Cc1ccccc1,,Epsilon,7,Porphyrin,1,Train
,,,3.8033888249836134,CC(C)=CCC[C@@H](C)Cc1c2nc(c(C[C@H](C)CCC(O)C(C)(C)O)c3ccc([nH]3)c(C[C@H](C)CCC=C(C)C)c3nc(c(C[C@H](C)CCC(O)C(C)(C)O)c4ccc1[nH]4)C=C3)C=C2,ClC(Cl)Cl,,Epsilon,7,Porphyrin,1,Train
374.0,521.0,0.67,,N#Cc1c(-n2c3ccc(Br)cc3c3cc(Br)ccc32)c(C#N)c(-n2c3ccc(Br)cc3c3cc(Br)ccc32)c(-n2c3ccc(Br)cc3c3cc(Br)ccc32)c1-n1c2ccc(Br)cc2c2cc(Br)ccc21,Cc1ccccc1,10.1021/acs.joc.5b01496,Deep4Chem,3,Carbazole,1,Train
,,,4.239999792886872,COc1c(O)cc2oc3cc(O)c(C/C=C(/C)COC(C)=O)c(O)c3c(=O)c2c1C/C=C(\C)CCC=C(C)C,CCO,,Epsilon,9,Acridines,1,Train
418.0,,,,CCCCCCCCCCSC1=C(SCCCCCCCCCC)SC(=Cc2ccc(N(c3ccccc3)c3ccc(/C=C(/C#N)C(=O)O)cc3)cc2)S1,CO,10.1039/C5RA06774J,Dye aggregation,6,Triphenylamine,1,Train
,,,4.6499974949287255,O=C1/C(=C/C2CCCCC2)CC[C@]12[C@@H](c1ccc([N+](=O)[O-])cc1)[C@]1(CC/C(=C\C3CCCCC3)C1=O)[C@@H]2c1ccc([N+](=O)[O-])cc1,ClCCl,,Epsilon,12,5n6,1,Train
553.0,,,,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-n3c4cc(/C=C(\C#N)C(=O)O)sc4c4sc(-c5ccc6c(c5)C5CCCC5N6c5ccc6c(c5)C(CCC)(CCC)c5c7c(c8c(c5-6)C(CCC)(CCC)c5ccccc5-8)C(CCC)(CCC)c5ccccc5-7)cc43)cc2)cc1,ClCCl,10.1021/am500575s,"DSSCDB,Dye aggregation",6,Triphenylamine,1,Train
594.0,607.0,,,Cc1ccc(C2=c3ccc(=CC(Br)=[Br+])n3[B-](F)(F)n3c(C=C(Br)Br)ccc32)cc1,C1CCCCC1,10.1016/j.dyepig.2020.108399,BODIPY,5,BODIPY,3,Train
275.0,,,,Cc1c2oc(-c3ccc(-c4ccc(C#N)cc4)cc3)c(-c3ccc(-c4ccc(C#N)cc4)cc3)c2c(C)c2oc(-c3ccc(-c4ccc(C#N)cc4)cc3)c(-c3ccc(-c4ccc(C#N)cc4)cc3)c12,ClCCl,,ChemDataExtractor,10,5p6,1,Train
,,,4.490000641890952,COc1cc(O)c2c(c1)C(=O)C1=C(C[C@H](O)[C@@](C)(O)[C@@H]1O)C2=O,CCO,,Epsilon,9,Acridines,1,Train
437.0,582.0,0.13,,COc1ccc2c(c1)c1cc(OC)ccc1n2-c1nc2ccccc2nc1-n1c2ccc(OC)cc2c2cc(OC)ccc21,Cc1ccccc1,10.1021/acs.jpclett.8b00136,Deep4Chem,3,Carbazole,3,Train
,,,4.889996018372665,CCCCC1=C(C)c2nc1c(C)c1[nH]c(c(C)c1CCCC)c(-c1ccccc1)c1nc(c(C)c3[nH]c(c(C)c3CCCC)c2-c2ccccc2)C(CCCC)=C1C,ClC(Cl)Cl,,Epsilon,7,Porphyrin,1,Train
,,,0.6344772643949474,CC(C)=CCC[C@@]12CC(C)(C)CC[C@@H]1Cc1c(O)cc(O)c(C(=O)C(C)C)c1O2,CO,,Epsilon,11,6p6,1,Train
614.0,645.0,0.02,,CCN1C=C(c2ccc3n2[B-](F)(F)[N+]2=CC=CC2=C3c2c(C)cc(C)cc2C)CCC1,ClCCl,10.1021/acs.joc.0c00620,BODIPY,5,BODIPY,5,Train
350.0,418.0,0.03,,O=c1cc(COc2ccc(I)cc2)c2c(ccc3ccccc32)o1,CCCCO,10.1016/j.saa.2014.10.039,Deep4Chem,2,Coumarin,12,Train
,494.0,,,CCCCC(CC)Cn1c2cc(C#N)c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(C#N)cc21,C1CCOC1,10.1021/acsami.8b04566,Deep4Chem,3,Carbazole,11,Train
361.0,395.0,,,CCC1(CC)c2cc(N(c3ccccc3)c3ccccc3)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(CC)(CC)c2cc(N(c3ccccc3)c3ccccc3)ccc2-1,CC(C)=O,10.1021/jo071064w,Deep4Chem,6,Triphenylamine,5,Train
479.0,639.0,0.56,,N#Cc1ccc(C#N)c(C#Cc2cc(C#N)c(C#Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2C#N)c1,ClC(Cl)Cl,10.1021/acs.jpca.5b05077,ChemFluo,6,Triphenylamine,1,Train
329.0,381.0,0.97,,COC(=O)C(Cc1ccc2oc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)nc2c1)N=C(O)OC(C)(C)C,c1ccccc1,10.1039/c2pp25114k,Deep4Chem,3,Carbazole,32,Train
394.0,,,4.720994000624342,C(#Cc1ccc(-c2ccccc2)nn1)c1ccc(N(c2ccc(C#Cc3ccc(-c4ccccc4)nn3)cc2)c2ccc(C#Cc3ccc(-c4ccccc4)nn3)cc2)cc1,ClCCl,,ChemDataExtractor,6,Triphenylamine,1,Train
445.0,560.0,0.21,,O=C1N=C(O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,CCOC(C)=O,10.1021/jp051035u,Deep4Chem,10,5p6,9,Train
494.0,514.0,0.0,,F[B-]1(F)n2cccc2C(=C2C=CC(=[N+](CCn3cc(-c4ccccc4)nn3)CCn3cc(-c4ccccc4)nn3)C=C2)c2cccn21,CO,10.1039/C5DT04042F,BODIPY,5,BODIPY,7,Train
,,,4.552668216112194,CC(=C/C=C/C(C)=C/C(=O)O)/C=C/C1=C(Cc2ccc3ccccc3c2)CCCC1(C)C,CCO,,Epsilon,8,PAHs,1,Train
382.0,427.0,0.68,4.722633922533812,C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CC#N,10.1016/j.dyepig.2014.06.007,Deep4Chem,10,5p6,6,Train
425.0,445.0,0.65,,COc1ccc(-c2ccc3c(c2)C=C2B(N3)OB3Nc4ccc(-c5ccc(OC)cc5)cc4C=C3C(c3ccccc3)=C2c2ccccc2)cc1,ClCCl,10.1021/acs.joc.9b02594,ChemFluo,13,6n6,1,Train
529.0,,,4.897500082815108,CCC1=C(C)C2=Cc3c(C)c(CCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C)c(C)n3[B-](F)(F)[N+]2=C1C,CCO,10.1016/j.bmcl.2008.10.089,"Epsilon,BODIPY",5,BODIPY,4,Train
,,,5.26245108973043,CCC1=C(C)c2cc3[nH]c(c(C)c3CC)c(CNCCCCCC(=O)OC)c3nc(cc4[nH]c(cc1n2)c(C)c4CC)C(C)=C3CC,ClC(Cl)Cl,,Epsilon,7,Porphyrin,1,Train
391.0,481.0,0.08,,COCCOCCOc1cc(C=O)c(OCCOCCOC)cc1C=O,CC(C)O,10.1021/acs.joc.6b01969,Deep4Chem,15,Benz,11,Train
,,,5.100001582801352,CCC1=C(C)c2nc1cc1[nH]c(c(C)c1CC)c(-c1ccccc1O)c1nc(cc3[nH]c(c(C)c3CC)c2-c2ccccc2O)C(CC)=C1C,c1ccccc1,,Epsilon,7,Porphyrin,1,Train
,,,4.479992562107072,CCCc1cc(C#N)c2c(c1O)c(=O)oc1ccccc12,CC#N,,Epsilon,2,Coumarin,1,Train
504.0,527.0,0.63,,CCc1c(C)c2n(c1C)[B-](F)(F)N1C(=[Cl+])C(Cl)=CC1=C2C,CO,10.1002/ejoc.201200946,BODIPY,5,BODIPY,5,Train
506.0,517.0,0.7,,CO[B-]1(OC)n2c(C)cc(C)c2C(c2ccccc2O)=C2C(C)=CC(C)=[N+]21,ClC(Cl)Cl,10.1021/ja212125w,BODIPY,5,BODIPY,5,Train
330.0,373.0,0.17,,c1cc2ccc3cccc4ccc(c1)c2c34,CO,10.1021/jo400128c,Deep4Chem,8,PAHs,10,Train
455.0,652.0,,,CN(C)c1ccc(-c2cc3ccc([N+](=O)[O-])cc3c(=O)o2)cc1,ClC(Cl)Cl,10.1016/j.dyepig.2019.107917,Deep4Chem,11,6p6,6,Train
378.0,450.0,,,CC1(C)c2ccccc2N(c2ccccc2)c2ccc(-c3ccc(C(=O)c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5N6c5ccccc5)cc4)cc3)cc21,Cc1ccccc1,10.1002/adfm.201603520,Deep4Chem,6,Triphenylamine,1,Train
