row_index,solute_max_tanimoto,solute_min_descriptor_distance,solute_scaffold_novel,solute_scaffold_similarity,solute_local_density,solute_scaffold_in_train_and_val,solute_scaffold_train_and_val_count,solute_top3_mean_tanimoto,solute_top5_mean_tanimoto,solute_neighbor_count_ge_0_5,solute_neighbor_count_ge_0_7,solute_neighbor_count_ge_0_8,solute_top1_top2_tanimoto_gap,solute_same_scaffold_neighbor_count_ge_0_5,solute_other_scaffold_neighbor_count_ge_0_5
45,0.7894736842105263,999.0,0.0,1.0,0.0,1.0,1.0,0.4428401609824159,0.36932065432365435,1.0,1.0,0.0,0.5178687459389214,1.0,0.0
46,1.0,999.0,0.0,1.0,0.0,1.0,3.0,0.9292929292929294,0.8714015151515152,27.0,5.0,2.0,0.0,2.0,25.0
47,0.64,999.0,1.0,0.6933333333333334,0.0,0.0,0.0,0.6217350716240141,0.6122933794230067,10.0,0.0,0.0,0.025321100917431227,0.0,10.0
48,0.6349206349206349,999.0,1.0,1.0,0.0,0.0,0.0,0.6294973544973544,0.6201226551226551,16.0,0.0,0.0,0.006349206349206327,0.0,16.0
49,1.0,999.0,1.0,1.0,0.0,0.0,0.0,0.8731518817204301,0.8074918420447359,152.0,6.0,2.0,0.17741935483870963,0.0,152.0
50,0.65,999.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.6188057040998217,0.6022235934000639,13.0,0.0,0.0,0.03181818181818186,0.0,13.0
51,0.7288135593220338,999.0,1.0,0.7391304347826086,0.0,0.0,0.0,0.6700492637093213,0.6331472929498849,6.0,1.0,0.0,0.03238498789346245,0.0,6.0
52,0.6428571428571429,999.0,0.0,1.0,0.0,1.0,1.0,0.4657881966478779,0.4199620484235094,1.0,0.0,0.0,0.25913621262458475,1.0,0.0
53,0.6571428571428571,999.0,1.0,0.6571428571428571,0.0,0.0,0.0,0.5970963995354239,0.4932426728860674,3.0,0.0,0.0,0.022996515679442497,0.0,3.0
54,1.0,999.0,1.0,1.0,0.0,0.0,0.0,0.8250000000000001,0.7295153664302602,6.0,2.0,2.0,0.15000000000000002,0.0,6.0
55,1.0,999.0,0.0,1.0,0.0,1.0,10.0,0.7093301435406699,0.634688995215311,9.0,1.0,1.0,0.39473684210526316,1.0,8.0
56,0.7303370786516854,999.0,1.0,1.0,0.0,0.0,0.0,0.6498404336578381,0.5507081046682721,3.0,1.0,0.0,0.07816316560820713,0.0,3.0
57,0.7076923076923077,999.0,1.0,1.0,0.0,0.0,0.0,0.6734578223708659,0.6546878483835006,61.0,1.0,0.0,0.03269230769230769,0.0,61.0
58,0.9545454545454546,999.0,0.0,1.0,0.0,1.0,153.0,0.8527272727272727,0.8084639498432603,207.0,7.0,2.0,0.11454545454545462,18.0,189.0
59,0.8823529411764706,999.0,0.0,1.0,0.0,1.0,74.0,0.8249352571217167,0.8090072758663214,60.0,17.0,2.0,0.08235294117647052,44.0,16.0
60,0.8985507246376812,999.0,1.0,0.859375,0.0,0.0,0.0,0.7360339046610637,0.6650748317683685,11.0,2.0,1.0,0.18622195751439352,0.0,11.0
61,0.38235294117647056,999.0,1.0,0.40625,0.0,0.0,0.0,0.3623716153127918,0.34488912005808126,0.0,0.0,0.0,0.01092436974789912,0.0,0.0
62,0.7843137254901961,999.0,0.0,1.0,0.0,1.0,28.0,0.7712418300653594,0.7582616672399953,21.0,8.0,0.0,0.019607843137254943,8.0,13.0
63,0.64,999.0,1.0,0.6363636363636364,0.0,0.0,0.0,0.601111111111111,0.5887785547785548,38.0,0.0,0.0,0.05666666666666664,0.0,38.0
64,1.0,999.0,0.0,1.0,0.0,1.0,47.0,0.8057692307692307,0.750128205128205,16.0,2.0,1.0,0.275,10.0,6.0
65,0.6857142857142857,999.0,1.0,0.6857142857142857,0.0,0.0,0.0,0.6305916305916307,0.5711540492028297,3.0,0.0,0.0,0.07965367965367964,0.0,3.0
66,0.9134615384615384,999.0,1.0,1.0,0.0,0.0,0.0,0.6407075651621107,0.5523131021471198,2.0,1.0,1.0,0.392800381436745,0.0,2.0
67,0.7692307692307693,999.0,1.0,0.6571428571428571,0.0,0.0,0.0,0.7642825011246064,0.7476655458725039,71.0,5.0,0.0,0.0,0.0,71.0
68,1.0,999.0,0.0,1.0,0.0,1.0,7.0,0.945578231292517,0.8878853669127225,13.0,7.0,4.0,0.0,1.0,12.0
69,1.0,999.0,0.0,1.0,0.0,1.0,8.0,0.6530054644808744,0.5710147482225748,2.0,1.0,1.0,0.5,1.0,1.0
70,0.6521739130434783,999.0,1.0,0.5735294117647058,0.0,0.0,0.0,0.603028498204198,0.5643487444921391,6.0,0.0,0.0,0.015810276679841917,0.0,6.0
71,1.0,999.0,0.0,1.0,0.0,1.0,81.0,0.8811764705882353,0.8472244008714597,31.0,7.0,3.0,0.17647058823529416,14.0,17.0
72,0.75,999.0,1.0,0.7692307692307693,0.0,0.0,0.0,0.7096546863988724,0.6485200845665962,4.0,2.0,0.0,0.045454545454545414,0.0,4.0
73,0.4827586206896552,999.0,0.0,1.0,0.0,1.0,1.0,0.45539353550175266,0.43023892242149975,0.0,0.0,0.0,0.0035919540229885083,0.0,0.0
74,0.47368421052631576,999.0,1.0,0.6571428571428571,0.0,0.0,0.0,0.44539473684210523,0.4044917440660475,0.0,0.0,0.0,0.007017543859649089,0.0,0.0
75,0.5,999.0,1.0,0.36363636363636365,0.0,0.0,0.0,0.47814407814407817,0.4263864468864469,1.0,0.0,0.0,0.01428571428571429,0.0,1.0
76,1.0,999.0,0.0,1.0,0.0,1.0,1.0,0.8364779874213837,0.7989840348330915,97.0,5.0,1.0,0.24528301886792447,1.0,96.0
77,0.6181818181818182,999.0,1.0,0.6,0.0,0.0,0.0,0.6108225108225108,0.5751434188254761,4.0,0.0,0.0,0.01103896103896107,0.0,4.0
78,0.6153846153846154,999.0,1.0,0.5833333333333334,0.0,0.0,0.0,0.4843679712100765,0.4491922112974745,1.0,0.0,0.0,0.19433198380566807,0.0,1.0
79,0.926829268292683,999.0,0.0,1.0,0.0,1.0,646.0,0.8017940799563035,0.7539446650280456,30.0,3.0,1.0,0.15938740782756666,30.0,0.0
80,0.574468085106383,999.0,1.0,0.574468085106383,0.0,0.0,0.0,0.5442025399967013,0.5227479390923604,3.0,0.0,0.0,0.016328550222662108,0.0,3.0
81,0.5154639175257731,999.0,1.0,0.43209876543209874,0.0,0.0,0.0,0.47247490061316616,0.44123558779668254,1.0,0.0,0.0,0.05467960380028297,0.0,1.0
82,0.7872340425531915,999.0,0.0,1.0,0.0,1.0,12.0,0.7681788719187953,0.7479171270728459,14.0,5.0,0.0,0.0046253469010175685,12.0,2.0
83,0.5833333333333334,999.0,1.0,0.5833333333333334,0.0,0.0,0.0,0.5187687687687688,0.5058558558558558,1.0,0.0,0.0,0.09684684684684686,0.0,1.0
84,0.6923076923076923,999.0,1.0,0.6071428571428571,0.0,0.0,0.0,0.6849358974358974,0.6776282051282051,13.0,0.0,0.0,0.004807692307692291,0.0,13.0
85,1.0,999.0,0.0,1.0,0.0,1.0,9.0,0.8139443791617705,0.7440847846786341,24.0,3.0,1.0,0.26086956521739135,4.0,20.0
86,0.9,999.0,0.0,1.0,0.0,1.0,123.0,0.7555555555555555,0.6446376811594202,4.0,2.0,1.0,0.20000000000000007,4.0,0.0
87,1.0,999.0,1.0,1.0,0.0,0.0,0.0,0.7747747747747747,0.6362934362934362,3.0,2.0,1.0,0.29729729729729726,0.0,3.0
88,0.6451612903225806,999.0,0.0,1.0,0.0,1.0,1.0,0.6124762643116369,0.5817714728726964,5.0,0.0,0.0,0.03910068426197455,1.0,4.0
89,0.3333333333333333,999.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.32151835093011566,0.31337612683713917,0.0,0.0,0.0,0.009803921568627416,0.0,0.0
90,0.6842105263157895,999.0,1.0,0.5128205128205128,0.0,0.0,0.0,0.6608406569895658,0.6067608044501498,6.0,0.0,0.0,0.0012836970474967568,0.0,6.0
91,1.0,999.0,0.0,1.0,0.0,1.0,65.0,0.8049155145929339,0.7249504393380102,6.0,2.0,1.0,0.2142857142857143,5.0,1.0
92,0.9230769230769231,999.0,1.0,0.9,0.0,0.0,0.0,0.6388647106468889,0.4883433361920549,2.0,2.0,1.0,0.19688644688644696,0.0,2.0
93,0.6111111111111112,999.0,1.0,0.6206896551724138,0.0,0.0,0.0,0.5033253067308795,0.44790161678706564,2.0,0.0,0.0,0.08479532163742698,0.0,2.0
94,0.9166666666666666,999.0,1.0,0.9047619047619048,0.0,0.0,0.0,0.5361904761904762,0.4383809523809524,1.0,1.0,1.0,0.57,0.0,1.0
95,1.0,999.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,187.0,27.0,12.0,0.0,1.0,186.0
96,1.0,999.0,0.0,1.0,0.0,1.0,9.0,0.8472222222222223,0.8071798284531203,5.0,5.0,1.0,0.22916666666666663,5.0,0.0
97,0.7605633802816901,999.0,0.0,1.0,0.0,1.0,3.0,0.63756049347002,0.5716539431408355,3.0,1.0,0.0,0.18161601186063747,0.0,3.0
98,0.42696629213483145,999.0,1.0,0.4714285714285714,0.0,0.0,0.0,0.39690194604414736,0.3720805615658823,0.0,0.0,0.0,0.02881814398668331,0.0,0.0
99,0.84,999.0,1.0,0.84,0.0,0.0,0.0,0.7599533799533799,0.7288556258556258,10.0,4.0,1.0,0.10923076923076924,0.0,10.0
100,1.0,999.0,0.0,1.0,0.0,1.0,3.0,0.8875028875028875,0.7801207801207801,21.0,3.0,2.0,0.08108108108108103,1.0,20.0
101,0.746268656716418,999.0,0.0,1.0,0.0,1.0,1.0,0.6431163324436683,0.5785725021689038,4.0,1.0,0.0,0.11113352158128287,1.0,3.0
102,0.625,999.0,1.0,0.8,0.0,0.0,0.0,0.548217435122197,0.49153639327670806,2.0,0.0,0.0,0.012755102040816313,0.0,2.0
103,1.0,999.0,0.0,1.0,0.0,1.0,8.0,0.8193570929419987,0.7619846261355695,16.0,3.0,1.0,0.26415094339622647,3.0,13.0
104,0.7428571428571429,999.0,0.0,1.0,0.0,1.0,1073.0,0.723099816849817,0.7140650183150183,24.0,4.0,0.0,0.024107142857142883,21.0,3.0
105,1.0,999.0,0.0,1.0,0.0,1.0,9.0,0.6945026787794083,0.6079868737253252,3.0,1.0,1.0,0.42592592592592593,1.0,2.0
106,0.7317073170731707,999.0,0.0,1.0,0.0,1.0,29.0,0.6814486326681449,0.6154348361665436,4.0,2.0,0.0,0.0044345898004434225,4.0,0.0
107,0.5333333333333333,999.0,1.0,0.5,0.0,0.0,0.0,0.4704980842911877,0.41348164627363737,2.0,0.0,0.0,0.0,0.0,2.0
108,0.34375,999.0,1.0,0.3269230769230769,0.0,0.0,0.0,0.33502073906485674,0.3299135423400129,0.0,0.0,0.0,0.005514705882352922,0.0,0.0
109,0.4782608695652174,999.0,1.0,0.5945945945945946,0.0,0.0,0.0,0.4566425120772947,0.44090062111801237,0.0,0.0,0.0,0.01992753623188409,0.0,0.0
110,0.6486486486486487,999.0,1.0,0.7674418604651163,0.0,0.0,0.0,0.6407657657657658,0.6244829681282811,28.0,0.0,0.0,0.0,0.0,28.0
111,0.7468354430379747,999.0,1.0,0.2765957446808511,0.0,0.0,0.0,0.4541611886037791,0.3588809598263431,1.0,1.0,0.0,0.38728488124022187,0.0,1.0
112,0.6458333333333334,999.0,1.0,0.9090909090909091,0.0,0.0,0.0,0.6241221665971354,0.6061503185918216,27.0,0.0,0.0,0.007535460992907805,0.0,27.0
113,0.5172413793103449,999.0,1.0,0.5897435897435898,0.0,0.0,0.0,0.398366606170599,0.36260536825021766,1.0,0.0,0.0,0.15517241379310348,0.0,1.0
114,1.0,999.0,0.0,1.0,0.0,1.0,670.0,0.9166666666666666,0.8891705069124424,373.0,39.0,8.0,0.125,288.0,85.0
115,1.0,999.0,0.0,1.0,0.0,1.0,1098.0,0.8187531422825541,0.7546731159307225,27.0,3.0,1.0,0.2692307692307693,18.0,9.0
116,1.0,999.0,0.0,1.0,0.0,1.0,220.0,0.6833333333333332,0.6027027027027028,4.0,1.0,1.0,0.475,4.0,0.0
117,1.0,999.0,0.0,1.0,0.0,1.0,17.0,0.832033788174139,0.7220153882369121,4.0,3.0,1.0,0.2407407407407407,3.0,1.0
118,0.56,999.0,1.0,1.0,0.0,0.0,0.0,0.5274074074074074,0.4942403628117914,2.0,0.0,0.0,0.026666666666666727,0.0,2.0
119,0.5294117647058824,999.0,1.0,0.5961538461538461,0.0,0.0,0.0,0.4817763935410994,0.4476208443348403,1.0,0.0,0.0,0.05505279034690802,0.0,1.0
120,0.6666666666666666,999.0,1.0,0.65,0.0,0.0,0.0,0.6501182033096926,0.6293053717465811,96.0,0.0,0.0,0.0,0.0,96.0
121,1.0,999.0,0.0,1.0,0.0,1.0,175.0,0.8431372549019608,0.8030252100840336,33.0,14.0,1.0,0.23529411764705888,25.0,8.0
122,0.3617021276595745,999.0,1.0,0.47368421052631576,0.0,0.0,0.0,0.3470631023822513,0.3364375049231119,0.0,0.0,0.0,0.015548281505728345,0.0,0.0
123,0.6363636363636364,999.0,1.0,0.75,0.0,0.0,0.0,0.6363636363636364,0.6219702369381628,41.0,0.0,0.0,0.0,0.0,41.0
124,1.0,999.0,0.0,1.0,0.0,1.0,15.0,0.7552182163187856,0.6750607543526749,6.0,1.0,1.0,0.32258064516129037,1.0,5.0
125,0.8723404255319149,999.0,0.0,1.0,0.0,1.0,701.0,0.8533796497322333,0.8312870490985993,113.0,26.0,4.0,0.021276595744680882,105.0,8.0
126,0.7391304347826086,999.0,1.0,0.6785714285714286,0.0,0.0,0.0,0.6942091724700421,0.6720810590375808,32.0,1.0,0.0,0.05797101449275355,0.0,32.0
127,0.5808823529411765,999.0,1.0,0.684931506849315,0.0,0.0,0.0,0.5715802068859039,0.5542828698942542,11.0,0.0,0.0,0.013953219082908808,0.0,11.0
128,0.5384615384615384,999.0,1.0,0.5384615384615384,0.0,0.0,0.0,0.4747648131145796,0.45320995169853495,1.0,0.0,0.0,0.09165302782324058,0.0,1.0
129,0.5660377358490566,999.0,1.0,0.5384615384615384,0.0,0.0,0.0,0.5311034877072612,0.5169671773701194,4.0,0.0,0.0,0.03876500857632936,0.0,4.0
130,0.24528301886792453,999.0,1.0,0.3695652173913043,0.0,0.0,0.0,0.242254833449802,0.24150104821802937,0.0,0.0,0.0,0.004542278127183802,0.0,0.0
131,1.0,999.0,0.0,1.0,0.0,1.0,4.0,0.9791666666666666,0.9282813871817384,264.0,14.0,6.0,0.03125,4.0,260.0
132,0.9565217391304348,999.0,1.0,0.9565217391304348,0.0,0.0,0.0,0.8387639513576546,0.7439726565288785,7.0,3.0,1.0,0.1634182908545727,0.0,7.0
133,1.0,999.0,0.0,1.0,0.0,1.0,9.0,0.7699346405228757,0.647947480544324,3.0,2.0,2.0,0.19999999999999996,1.0,2.0
134,0.8714285714285714,999.0,0.0,1.0,0.0,1.0,4.0,0.805700871898055,0.7482092555331992,16.0,3.0,2.0,0.0686116700201207,2.0,14.0
135,0.8118811881188119,999.0,1.0,0.8111111111111111,0.0,0.0,0.0,0.7677891598683678,0.7352660885136133,17.0,4.0,1.0,0.04420442044204431,0.0,17.0
136,1.0,999.0,0.0,1.0,0.0,1.0,13.0,0.9334055615745758,0.8914579113476849,156.0,16.0,6.0,0.03076923076923077,2.0,154.0
137,0.75,999.0,1.0,0.6323529411764706,0.0,0.0,0.0,0.6926605504587156,0.6368530379089492,6.0,2.0,0.0,0.0,0.0,6.0
138,0.7872340425531915,999.0,0.0,1.0,0.0,1.0,5.0,0.6632049983113814,0.6036559452858128,5.0,1.0,0.0,0.12056737588652489,4.0,1.0
139,0.7666666666666667,999.0,1.0,0.7674418604651163,0.0,0.0,0.0,0.7059534335396404,0.6861653437058738,46.0,1.0,0.0,0.07701149425287357,0.0,46.0
140,0.9487179487179487,999.0,1.0,0.9487179487179487,0.0,0.0,0.0,0.8643874643874643,0.8386324786324785,12.0,9.0,5.0,0.10427350427350424,0.0,12.0
141,0.4423076923076923,999.0,1.0,0.5616438356164384,0.0,0.0,0.0,0.4083293682262754,0.37071190665005094,0.0,0.0,0.0,0.019627279936558273,0.0,0.0
142,0.5555555555555556,999.0,1.0,0.6,0.0,0.0,0.0,0.5227920227920227,0.5025297028393003,3.0,0.0,0.0,0.042735042735042805,0.0,3.0
143,0.391304347826087,999.0,1.0,1.0,0.0,0.0,0.0,0.38164251207729466,0.36516256962062227,0.0,0.0,0.0,0.0,0.0,0.0
144,1.0,999.0,1.0,0.9024390243902439,0.0,0.0,0.0,1.0,0.9161290322580644,23.0,9.0,3.0,0.0,0.0,23.0
145,1.0,999.0,0.0,1.0,0.0,1.0,4.0,0.8728956228956228,0.8025252525252526,38.0,3.0,2.0,0.13888888888888884,1.0,37.0
146,0.9072164948453608,999.0,1.0,0.8208955223880597,0.0,0.0,0.0,0.8662489050603059,0.7930166697688569,93.0,3.0,2.0,0.0,0.0,93.0
147,1.0,999.0,1.0,0.8787878787878788,0.0,0.0,0.0,1.0,0.9140546006066735,259.0,12.0,4.0,0.0,0.0,259.0
148,1.0,999.0,0.0,1.0,0.0,1.0,4.0,0.7333333333333334,0.6677676950998186,5.0,1.0,1.0,0.4,4.0,1.0
149,0.4107142857142857,999.0,1.0,0.4666666666666667,0.0,0.0,0.0,0.3627073636472133,0.3466566762528441,0.0,0.0,0.0,0.05983709273182958,0.0,0.0
150,1.0,999.0,0.0,1.0,0.0,1.0,2.0,0.658974358974359,0.5822380636604775,2.0,1.0,1.0,0.5,1.0,1.0
151,0.5692307692307692,999.0,1.0,0.7391304347826086,0.0,0.0,0.0,0.382051282051282,0.3240852818068008,1.0,0.0,0.0,0.2358974358974359,0.0,1.0
152,0.7169811320754716,999.0,0.0,1.0,0.0,1.0,7.0,0.7133526850507983,0.6737870120999977,18.0,3.0,0.0,0.005442670537010086,4.0,14.0
153,0.4722222222222222,999.0,1.0,0.5806451612903226,0.0,0.0,0.0,0.4554878799064846,0.44411339663689986,0.0,0.0,0.0,0.019841269841269826,0.0,0.0
154,0.7538461538461538,999.0,1.0,0.5,0.0,0.0,0.0,0.7538461538461538,0.6955509355509355,15.0,3.0,0.0,0.0,0.0,15.0
155,0.4057971014492754,999.0,1.0,0.47619047619047616,0.0,0.0,0.0,0.39309702578429667,0.3755500922212783,0.0,0.0,0.0,0.005797101449275366,0.0,0.0
156,1.0,999.0,1.0,1.0,0.0,0.0,0.0,0.8765079365079366,0.7968342279561792,5.0,4.0,2.0,0.15714285714285714,0.0,5.0
157,0.8656716417910447,999.0,0.0,1.0,0.0,1.0,55.0,0.8614281533508925,0.8413482848117875,46.0,14.0,6.0,0.0,42.0,4.0
158,0.543859649122807,999.0,1.0,0.5641025641025641,0.0,0.0,0.0,0.53414450103754,0.523934976484593,6.0,0.0,0.0,0.01160158460667804,0.0,6.0
159,0.5972222222222222,999.0,1.0,0.6271186440677966,0.0,0.0,0.0,0.5769662683278244,0.5605680043323064,21.0,0.0,0.0,0.003019323671497598,0.0,21.0
160,0.6875,999.0,1.0,0.6428571428571429,0.0,0.0,0.0,0.661553414469236,0.6387170385395537,23.0,0.0,0.0,0.011029411764705843,0.0,23.0
161,0.3380281690140845,999.0,1.0,0.6829268292682927,0.0,0.0,0.0,0.32874657891540005,0.3239939790952718,0.0,0.0,0.0,0.009261045726413286,0.0,0.0
162,0.6896551724137931,999.0,1.0,0.4479166666666667,0.0,0.0,0.0,0.6799871321994607,0.6696632286911605,67.0,0.0,0.0,0.003214494447691507,0.0,67.0
163,0.525,999.0,1.0,0.5333333333333333,0.0,0.0,0.0,0.525,0.525,11.0,0.0,0.0,0.0,0.0,11.0
164,0.7708333333333334,999.0,0.0,1.0,0.0,1.0,974.0,0.7502777777777778,0.6943045977011495,30.0,3.0,0.0,0.03083333333333338,23.0,7.0
165,0.5813953488372093,999.0,0.0,1.0,0.0,1.0,1.0,0.4280577088716624,0.3791541914473195,1.0,0.0,0.0,0.20361757105943157,1.0,0.0
166,1.0,999.0,0.0,1.0,0.0,1.0,4.0,0.7366522366522367,0.6680782985130811,25.0,1.0,1.0,0.38095238095238093,1.0,24.0
