abs,emi,plqy,em,smiles,solvent,reference(doi),source,tag,tag_name,solvent_num,_original_row_id,_canonical_smiles,_scaffold,external_test_source,split,source_group,source_file,_ae_pre_source_row,supplement_group,dataset,subset_or_state,source_status,std_stokes_shift_nm,std_epsilon,std_reference,std_reference_doi,assigned_scaffold,_ae_pre_merged_row,ae_pre_split
,,,5.305998029549888,Cc1cc(C(C)(C)C)cc(Cc2cc(C(C)(C)C)cc(Cc3cc(C(C)(C)C)cc(Cc4cc(C(C)(C)C)ccc4OCC(O)=NCc4ccccc4)c3OCC(O)=NCc3ccccc3)c2OCC(O)=NCc2ccccc2)c1OCC(O)=NCc1ccccc1,CC#N,,Epsilon,13.0,6n6,1.0,287.0,Cc1cc(C(C)(C)C)cc(Cc2cc(C(C)(C)C)cc(Cc3cc(C(C)(C)C)cc(Cc4cc(C(C)(C)C)ccc4OCC(O)=NCc4ccccc4)c3OCC(O)=NCc3ccccc3)c2OCC(O)=NCc2ccccc2)c1OCC(O)=NCc1ccccc1,C(COc1ccccc1Cc1cccc(Cc2cccc(Cc3ccccc3OCC=NCc3ccccc3)c2OCC=NCc2ccccc2)c1OCC=NCc1ccccc1)=NCc1ccccc1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,27,,,,,,,,,,26,calibration85
413.0,489.0,,,N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1nc2ccc(C(=O)O)cc2[nH]1,CN(C)C=O,10.1016/j.dyepig.2014.02.010,"DSSCDB,Dye aggregation",6.0,Triphenylamine,1.0,294.0,N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1nc2ccc(C(=O)O)cc2[nH]1,C(=Cc1nc2ccccc2[nH]1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,28,,,,,,,,,,27,calibration85
558.0,573.0,1.0,5.105169427999332,Cc1ccccc1-c1c2ccc(N3CCCC3)cc2[o+]c2cc(N3CCCC3)ccc12,ClCCl,10.1021/jo800902j,Deep4Chem,9.0,Acridines,2.0,302.0,Cc1ccccc1-c1c2ccc(N3CCCC3)cc2[o+]c2cc(N3CCCC3)ccc12,c1ccc(-c2c3ccc(N4CCCC4)cc3[o+]c3cc(N4CCCC4)ccc23)cc1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,29,,,,,,,,,,28,calibration85
425.0,,,,CCCC1(CCC)c2cc(-c3nc(-c4ccc5c(c4)C(CCC)(CCC)c4cc(N(c6ccccc6)c6ccccc6)ccc4-5)nc(-c4ccc5c(c4)C(CCC)(CCC)c4cc(N(c6ccccc6)c6ccccc6)ccc4-5)n3)ccc2-c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)cc21,ClC(Cl)Cl,10.1016/j.dyepig.2019.02.013,Dye aggregation,6.0,Triphenylamine,6.0,317.0,CCCC1(CCC)c2cc(-c3nc(-c4ccc5c(c4)C(CCC)(CCC)c4cc(N(c6ccccc6)c6ccccc6)ccc4-5)nc(-c4ccc5c(c4)C(CCC)(CCC)c4cc(N(c6ccccc6)c6ccccc6)ccc4-5)n3)ccc2-c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)cc21,c1ccc(N(c2ccccc2)c2ccc3c(c2)Cc2cc(-c4nc(-c5ccc6c(c5)Cc5cc(-c7cccs7)ccc5-6)nc(-c5ccc6c(c5)Cc5cc(N(c7ccccc7)c7ccccc7)ccc5-6)n4)ccc2-3)cc1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,30,,,,,,,,,,29,calibration85
,,,4.959999600303207,CC1=C(C#Cc2ccccc2)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C#Cc1ccccc1)c5C)C(C)=C4CCC(=O)O)c(CCC(=O)O)c3C,CS(C)=O,,Epsilon,7.0,Porphyrin,1.0,321.0,CC1=C(C#Cc2ccccc2)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C#Cc1ccccc1)c5C)C(C)=C4CCC(=O)O)c(CCC(=O)O)c3C,C(#Cc1ccccc1)C1=Cc2cc3[nH]c(cc4nc(cc5ccc(cc1n2)[nH]5)C=C4)cc3C#Cc1ccccc1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,31,,,,,,,,,,30,calibration85
,,,0.6344772643949474,CC=C1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)C=Cc2ccc(O)c(O)c2)[C@H](O)[C@@H]1O,CO,,Epsilon,13.0,6n6,1.0,337.0,CC=C1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)C=Cc2ccc(O)c(O)c2)O[C@H]1C,C=C1[C@H](O[C@H]2CCCCO2)OC=C[C@H]1CC(=O)O[C@@H]1CC[C@H](O[C@@H]2C[C@H](OCCc3ccccc3)O[C@H](CO[C@H]3CCCCO3)[C@H]2OC(=O)C=Cc2ccccc2)OC1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,32,,,,,,,,,,31,calibration85
,,,5.4099999997433725,OCC#CCOc1c(F)c(F)c(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)C=C4)C=C3)c(F)c1F,CC(C)=O,,Epsilon,7.0,Porphyrin,1.0,345.0,OCC#CCOc1c(F)c(F)c(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)C=C4)C=C3)c(F)c1F,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,34,,,,,,,,,,33,calibration85
,,,5.406880670049125,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,Clc1ccccc1Cl,,Epsilon,7.0,Porphyrin,18.0,352.0,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,35,,,,,,,,,,34,calibration85
,,,4.519998529118848,COc1cccc2c1C(=O)c1c(cc(C)c(CO)c1O)C2=O,CO,,Epsilon,9.0,Acridines,1.0,353.0,COc1cccc2c1C(=O)c1c(cc(C)c(CO)c1O)C2=O,O=C1c2ccccc2C(=O)c2ccccc21,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,36,,,,,,,,,,35,calibration85
522.0,551.0,,,C[O+]=C1C=CC(=C2c3c(C)c(C=C(Br)Br)c(C)n3[B-](F)(F)n3c(C)c(C=C(Br)Br)c(C)c32)C=C1,C1CCOC1,10.1039/C9DT02309G,BODIPY,5.0,BODIPY,11.0,362.0,C[O+]=C1C=CC(=C2c3c(C)c(C=C(Br)Br)c(C)n3[B-](F)(F)n3c(C)c(C=C(Br)Br)c(C)c32)C=C1,[O+]=C1C=CC(=C2c3cccn3[BH2-]n3cccc32)C=C1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,37,,,,,,,,,,36,calibration85
325.0,,,4.261262868792493,C1=Cc2cccc3cccc1c23,C1CCCCC1,,ChemDataExtractor,8.0,PAHs,1.0,387.0,C1=Cc2cccc3cccc1c23,C1=Cc2cccc3cccc1c23,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,40,,,,,,,,,,38,calibration85
,,,4.277219434894438,COc1ccc(Cc2nnc(O)n2N=Cc2ccc(O)c(O)c2)cc1,CCO,,Epsilon,12.0,5n6,1.0,407.0,COc1ccc(Cc2nnc(O)n2N=Cc2ccc(O)c(O)c2)cc1,C(=Nn1cnnc1Cc1ccccc1)c1ccccc1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,42,,,,,,,,,,40,calibration85
,,,0.6434526858992667,CO[C@@H]1CC(=O)C2=CCCC3(Oc4cccc5cccc(c45)O3)[C@@H]2[C@@H]1O,CO,,Epsilon,8.0,PAHs,1.0,411.0,CO[C@@H]1CC(=O)C2=CCCC3(Oc4cccc5cccc(c45)O3)[C@@H]2[C@@H]1O,O=C1CCC[C@@H]2C1=CCCC21Oc2cccc3cccc(c23)O1,random_5pct_from_scaffold_remaining,external_test,current_test,./data/splits/deployment/deployment_test.csv,43,,,,,,,,,,41,calibration85
,,,4.041392685158225,C=C[C@@]1(C)CC(=O)[C@@H]2[C@]3(C)[C@@H](C[C@@H](OC(C)=O)[C@@]2(O)C1=O)C(C)(C)[C@H](OC(=O)c1ccccc1)[C@H](OC(C)=O)[C@@H]3OC(=O)c1ccccc1,CO,,Epsilon,13.0,6n6,1.0,416.0,C=C[C@@]1(C)CC(=O)[C@H]2[C@](O)(C1=O)[C@H](OC(C)=O)C[C@H]1C(C)(C)[C@H](OC(=O)c3ccccc3)[C@H](OC(C)=O)[C@H](OC(=O)c3ccccc3)[C@@]12C,O=C(O[C@H]1C[C@@H]2CCC3C(=O)CCC(=O)[C@@H]3C2[C@@H](OC(=O)c2ccccc2)C1)c1ccccc1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,44,,,,,,,,,,42,calibration85
,,,5.059998630149691,CCCCN(CCCC)c1ccc(/C=C/c2c3nc(c(-c4ccccc4)c4ccc(cc5nc(c(-c6ccccc6)c6ccc2[nH]6)C=C5)[nH]4)C=C3)cc1,ClC(Cl)Cl,,Epsilon,7.0,Porphyrin,1.0,425.0,CCCCN(CCCC)c1ccc(/C=C/c2c3nc(c(-c4ccccc4)c4ccc(cc5nc(c(-c6ccccc6)c6ccc2[nH]6)C=C5)[nH]4)C=C3)cc1,C1=Cc2nc1cc1ccc([nH]1)c(-c1ccccc1)c1nc(c(/C=C/c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,45,,,,,,,,,,43,calibration85
382.0,474.0,0.21,,C1=C2B(Nc3ccccc31)c1sccc1C(c1ccccc1)=C2c1ccccc1,ClCCl,10.1039/c6cc00161k,ChemFluo,13.0,6n6,1.0,435.0,C1=C2B(Nc3ccccc31)c1sccc1C(c1ccccc1)=C2c1ccccc1,C1=C2B(Nc3ccccc31)c1sccc1C(c1ccccc1)=C2c1ccccc1,small_scaffold_first_5pct,external_test,current_test,./data/splits/deployment/deployment_test.csv,46,,,,,,,,,,44,calibration85
